
,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
901,1978,NBA,1,3,IND,Rick Robey,22.136,C-F,,University of Kentucky,1979,1986,493,7.6,4.7,1.2,0.4,0.2,.501,.502,.125,.650,15.8,.086
902,1992,NBA,1,14,IND,Malik Sealy,22.149,G,,St. John's University,1993,2000,493,10.1,3.2,1.7,1.1,0.3,.426,.445,.292,.809,17.1,.070
903,1992,NBA,1,22,PHO,Oliver Miller,22.085,C,,University of Arkansas,1993,2004,493,7.4,5.9,2.2,0.9,1.5,.534,.541,.116,.639,21.1,.089
904,2004,NBA,2,37,ATL,Royal Ivey,23.192,G,,University of Texas at Austin,2005,2014,492,3.3,1.1,1.0,0.5,0.1,.406,.425,.361,.706,4.5,.035
905,1984,NBA,3,51,HOU,Jim Petersen,22.123,F-C,,University of Minnesota,1985,1992,491,6.9,4.8,1.0,0.4,0.7,.486,.490,.071,.725,13.8,.067
906,2006,NBA,1,26,LAL,Jordan Farmar,20.215,G,,University of California Los Angeles,2007,2015,490,7.7,1.9,2.9,0.8,0.1,.423,.464,.374,.734,13.4,.068
907,1973,NBA,1,16,MIL,Swen Nater,23.106,C,,University of California Los Angeles,1977,1984,489,12.2,10.8,2.0,0.5,0.5,.537,.537,.250,.760,36.9,.128
908,1971,NBA,4,58,HOU,Tom Owens,22.279,C-F,,University of South Carolina,1977,1983,488,11.5,6.2,2.0,0.5,0.5,.508,.508,.250,.764,32.9,.138
909,1975,NBA,2,19,ATL,Bill Willoughby,18.013,F-C,,,1976,1984,488,6.0,3.9,0.8,0.4,0.6,.470,.473,.270,.750,13.3,.074
910,1970,NBA,8,120,SDR,Don Adams,22.122,F,,Northwestern University,1971,1977,487,8.7,5.6,1.8,0.6,0.1,.402,.402,,.739,10.6,.041
911,2002,NBA,2,41,MIL,Ronald Murray,23.338,G,,Shaw University,2003,2010,487,9.9,2.1,2.3,0.8,0.2,.414,.450,.304,.725,8.5,.037
912,2005,NBA,2,50,BOS,Ryan Gomes,23.306,F,,Providence College,2006,2014,487,10.1,4.6,1.5,0.7,0.2,.445,.473,.349,.799,19.4,.069
913,1955,NBA,1,5,SYR,Ed Conlin,22.228,F-G,,Fordham University,1956,1962,486,10.1,4.8,2.0,,,.370,.370,,.750,14.2,.060
914,1973,NBA,1,10,ATL,John Brown,21.137,F,,University of Missouri,1974,1980,486,7.4,4.4,1.4,0.5,0.2,.453,.453,,.783,16.2,.077
915,2002,NBA,1,1,HOU,Yao Ming,22.292,C,,,2003,2011,486,19.0,9.2,1.6,0.4,1.9,.524,.525,.200,.833,65.9,.200
916,1984,NBA,1,12,CLE,Tim McCormick,22.107,C,,University of Michigan,1985,1992,483,8.3,4.9,1.0,0.3,0.4,.535,.537,.063,.703,21.5,.099
917,1992,NBA,1,8,MIL,Todd Day,22.174,G-F,,University of Arkansas,1993,2001,483,12.3,3.4,1.5,1.1,0.6,.406,.435,.345,.739,17.5,.069
918,1978,NBA,1,2,KCK,Phil Ford,22.126,G,,University of North Carolina,1979,1985,482,11.6,1.8,6.4,1.2,0.1,.467,.474,.210,.820,23.3,.083
919,1988,NBA,1,7,PHO,Tim Perry,23.030,F-C,,Temple University,1989,1996,481,6.8,4.0,0.9,0.5,0.9,.485,.504,.318,.648,14.6,.074
920,2006,NBA,2,50,CHA,Ryan Hollins,22.266,C,,University of California Los Angeles,2007,2015,481,3.7,2.2,0.3,0.2,0.5,.581,.582,.000,.651,9.4,.080
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
921,2008,NBA,1,25,HOU,Nicolas Batum,20.199,F,,,2009,2015,481,11.2,5.1,3.0,0.9,0.7,.446,.522,.363,.834,37.4,.121
922,1970,NBA,3,35,SDR,Curtis Perry,22.196,F,,Missouri State University,1971,1978,480,9.5,8.8,1.9,0.8,0.6,.455,.455,,.699,29.6,.104
923,1970,NBA,10,155,SFW,Coby Dietrick,22.248,C-F,,San Jose State University,1977,1983,480,6.1,3.9,2.1,0.9,0.6,.468,.469,.188,.741,15.5,.080
